Marital_status;Application_mode;Application_order;Course;Daytime_evening_attendance;Previous_qualification;Previous_qualification_grade;Nacionality;Mothers_qualification;Fathers_qualification;Mothers_occupation;Fathers_occupation;Admission_grade;Displaced;Educational_special_needs;Debtor;Tuition_fees_up_to_date;Gender;Scholarship_holder;Age_at_enrollment;International;Curricular_units_1st_sem_credited;Curricular_units_1st_sem_enrolled;Curricular_units_1st_sem_evaluations;Curricular_units_1st_sem_approved;Curricular_units_1st_sem_grade;Curricular_units_1st_sem_without_evaluations;Curricular_units_2nd_sem_credited;Curricular_units_2nd_sem_enrolled;Curricular_units_2nd_sem_evaluations;Curricular_units_2nd_sem_approved;Curricular_units_2nd_sem_grade;Curricular_units_2nd_sem_without_evaluations;Unemployment_rate;Inflation_rate;GDP
0;0.285714286;0.833333333;0.013858204;1;0;-0.82503423;0;0.418604651;0.255813953;0.025773196;0.046153846;0.000414846;1;0;0;1;1;0;0.056603774;0;0;0;0;0;-2.083224307;0;0;0;0;0;-1.83108537;0;-0.311312179;0.121614589;0.774118643
0;0.25;0.166666667;0.925989154;1;0;2.045804674;0;0;0.046511628;0.015463918;0.015384615;1.040849237;1;0;0;0;1;0;0.037735849;0;0;0.230769231;0.133333333;0.230769231;0.685216981;0;0;0.260869565;0.181818182;0.3;0.662382822;0;0.850918579;-1.106070066;0.353704119
0;0;0.833333333;0.907511549;1;0;-0.82503423;0;0.837209302;0.837209302;0.046391753;0.046153846;-0.170709231;1;0;0;0;1;0;0.037735849;0;0;0.230769231;0;0;-2.083224307;0;0;0.260869565;0;0;-1.83108537;0;-0.311312179;0.121614589;0.774118643
0;0.285714286;0.333333333;0.978108054;1;0;-0.82503423;0;0.860465116;0.837209302;0.025773196;0.015384615;-0.526647312;1;0;0;1;0;0;0.056603774;0;0;0.230769231;0.177777778;0.230769231;0.572219378;0;0;0.260869565;0.303030303;0.25;0.431280892;0;-0.836190586;-1.467153788;-1.37663355
0.2;0.678571429;0.166666667;0.801466158;0;0;-2.487098859;0;0.837209302;0.860465116;0.046391753;0.046153846;0.972399606;0;0;0;1;0;0;0.528301887;0;0;0.230769231;0.2;0.192307692;0.355640637;0;0;0.260869565;0.181818182;0.3;0.540750227;0;0.850918579;-1.106070066;0.353704119
0.2;0.678571429;0.166666667;1;0;0.428571429;0.013552924;0;0.837209302;0.837209302;0.046391753;0.035897436;-0.855205541;0;0;1;1;1;0;0.622641509;0;0;0.192307692;0.222222222;0.192307692;0.261475968;0;0;0.217391304;0.515151515;0.25;0.267076889;0.416666667;1.713218819;-0.6727696;-0.403042022
0;0;0.166666667;0.95069291;1;0;0.685933614;0;0.418604651;0.860465116;0.036082474;0.051282051;0.07570944;1;0;0;1;0;1;0.018867925;0;0;0.269230769;0.2;0.269230769;0.546794917;0;0;0.347826087;0.242424242;0.4;0.786143987;0;1.450779615;1.132649011;-1.792622657
0;0.303571429;0.666666667;0.925989154;1;0;-1.051679407;0;0.837209302;0.837209302;0.046391753;0.046153846;-0.971569914;1;0;0;0;1;0;0.094339623;0;0;0.192307692;0.111111111;0;-2.083224307;0;0;0.217391304;0.151515152;0;-1.83108537;0;1.450779615;1.132649011;-1.792622657
0;0;0.5;0.924382406;1;0;0.308191653;0.564814815;0;0;0.046391753;0.046153846;0.137314108;0;0;0;1;0;1;0.075471698;1;0;0.230769231;0.177777778;0.230769231;0.660498755;0;0;0.260869565;0.212121212;0.3;0.749263247;0;1.713218819;-0.6727696;-0.403042022
0;0;0.166666667;0.924382406;1;0;0.383740046;0;0;0.418604651;0.020618557;0.035897436;-0.293918567;1;0;1;0;0;0;0.018867925;0;0;0.230769231;0.2;0.192307692;0.171077885;0;0;0.260869565;0.424242424;0.1;0.631974673;0;-1.02364716;0.121614589;1.557417281
0;0;0.166666667;0.967764611;1;0;0.459288438;0;0.860465116;0.418604651;0.025773196;0.035897436;0.226298629;1;0;0;1;0;0;0.018867925;0;0;0.230769231;0.133333333;0.230769231;0.355640637;0;0;0.260869565;0.212121212;0.25;0.759688898;0;0.850918579;-1.106070066;0.353704119
0;0;0.166666667;0.95069291;1;0;0.232643261;0;0.418604651;0.860465116;0.046391753;0.046153846;-0.547182202;1;0;0;1;0;1;0.018867925;0;0;0.307692308;0.177777778;0.269230769;0.529845276;0;0;0.347826087;0.242424242;0.35;0.579846418;0;0.401022802;1.782599711;-0.748224473
0;0;0.333333333;0.986141796;1;0;0.005998084;0;0.418604651;0.837209302;0.020618557;0.046153846;0.198918776;1;0;0;1;0;0;0.037735849;0;0;0.230769231;0.133333333;0;-2.083224307;0;0;0.260869565;0;0;-1.83108537;0;0.401022802;1.782599711;-0.748224473
0;0.928571429;0.166666667;0.925989154;1;0.976190476;-1.731614936;0;0;0;0.020618557;0.035897436;-1.060554434;1;0;0;1;0;1;0.075471698;0;0;0.230769231;0.155555556;0.230769231;0.00723136;0;0;0.260869565;0.242424242;0.25;0.175852443;0;-1.02364716;0.121614589;1.557417281
